features,FC,log2(FC),p.ajusted,-log10(p)
1.231_290.0883,4.671,2.2237,0.52178,0.28251
0.972_249.01484,8.6566,3.1138,0.52947,0.27615
12.264_311.22291,1.2263,0.29436,0.52947,0.27615
1.517_227.06743,3.2084,1.6819,0.5394,0.26809
1.616_69.06995,1.5943,0.67293,0.55127,0.25864
12.833_291.1603,1.5251,0.60888,0.56099,0.25104
0.868_189.15974,2.1653,1.1145,0.57469,0.24057
6.133_179.03505,3531.9,11.786,0.61462,0.21139
1.203_226.06864,0.80125,-0.31968,0.61462,0.21139
12.458_545.24052,0.82748,-0.27321,0.61462,0.21139
6.923_516.30202,0.90911,-0.13747,0.63314,0.1985
9.382_405.26482,9.7533,3.2859,0.63437,0.19765
1.718_278.01816,2.1212,1.0849,0.63437,0.19765
14.011_505.24895,0.50662,-0.98102,0.63437,0.19765
0.946_146.04592,1.2541,0.32661,0.63437,0.19765
0.965_209.06672,1.5733,0.65381,0.64786,0.18852
0.925_151.06124,109.47,6.7743,0.65944,0.18083
1.642_103.04008,1.6625,0.7334,0.65944,0.18083
0.946_132.06665,0.54479,-0.87623,0.66231,0.17894
12.461_619.40517,0.6064,-0.72167,0.66231,0.17894
14.534_283.26331,1.3583,0.44184,0.66231,0.17894
9.123_407.28054,3.7707,1.9148,0.66409,0.17777
1.468_117.01935,0.33371,-1.5833,0.66409,0.17777
1.294_128.03537,1.1256,0.17075,0.66409,0.17777
0.965_96.96959,1.061,0.08538,0.67001,0.17392
0.901_156.04218,5.958,2.5748,0.67802,0.16875
1.012_101.0596,0.70321,-0.50796,0.67802,0.16875
0.973_176.93603,1.1035,0.1421,0.67802,0.16875
11.35_361.16333,1.4752,0.56091,0.71171,0.1477
0.934_90.05485,1.2315,0.30043,0.72047,0.14238
11.1_591.31949,0.36122,-1.4691,0.72204,0.14144
14.517_299.25924,1.2898,0.36713,0.72204,0.14144
12.444_391.28538,0.81467,-0.2957,0.75997,0.1192
14.822_299.2582,1.0545,0.076558,0.76601,0.11576
11.571_309.17089,1.0129,0.018536,0.77621,0.11002
6.895_230.1399,0.72352,-0.46689,0.79343,0.10049
14.018_322.27181,0.48977,-1.0298,0.81473,0.088984
12.027_460.26986,1.1658,0.22129,0.81883,0.086807
10.991_561.23552,0.47273,-1.0809,0.82119,0.085557
1.203_135.0313,1.2008,0.26394,0.82123,0.085533
14.005_489.27129,0.52358,-0.93352,0.82227,0.084986
11.992_361.16324,0.76231,-0.39155,0.82227,0.084986
1.209_137.0458,1.2777,0.35351,0.82227,0.084986
16.054_425.28771,1.1292,0.17535,0.82227,0.084986
17.588_223.06359,0.98361,-0.02384,0.82227,0.084986
11.732_195.13914,0.59135,-0.7579,0.82634,0.08284
10.33_389.26902,0.70079,-0.51295,0.82634,0.08284
0.987_161.0921,1.4235,0.50941,0.82634,0.08284
11.951_431.18434,1.3539,0.43716,0.82634,0.08284
14.541_85.10107,1.3003,0.3788,0.82634,0.08284
11.567_437.26411,0.78526,-0.34876,0.82634,0.08284
0.975_159.07756,1.2486,0.32027,0.82634,0.08284
0.962_58.06524,1.1708,0.22745,0.82634,0.08284
1.113_141.0659,1.1386,0.1872,0.82634,0.08284
1.01_189.12335,1.1162,0.1586,0.82634,0.08284
12.26_437.2912,0.91996,-0.12035,0.82634,0.08284
7.517_217.1082,0.94516,-0.081373,0.82634,0.08284
10.979_253.14531,0.99586,-0.005983,0.82634,0.08284
11.559_248.14823,0.75368,-0.40798,0.83552,0.078042
16.032_282.27934,0.51881,-0.94672,0.84619,0.072531
6.742_85.06585,0.77974,-0.35894,0.84619,0.072531
12.45_389.26992,0.91092,-0.13461,0.84619,0.072531
7.241_165.05576,1.0663,0.09255,0.84619,0.072531
11.35_221.1547,0.90266,-0.14774,0.84857,0.07131
2.09_165.04182,0.85881,-0.21958,0.85319,0.068956
11.095_593.3341,0.38133,-1.3909,0.85807,0.066476
14.019_359.29488,0.52954,-0.9172,0.85807,0.066476
1.069_77.05969,0.94393,-0.083247,0.85807,0.066476
10.371_407.27952,0.33498,-1.5778,0.86192,0.064534
1.366_188.05654,0.90516,-0.14375,0.86452,0.063224
0.817_147.11284,0.72482,-0.4643,0.8763,0.057346
14.009_421.2962,0.49881,-1.0034,0.87684,0.057082
0.96_253.093,0.53985,-0.88936,0.87684,0.057082
0.995_287.05411,0.70639,-0.50147,0.88128,0.054886
2.562_184.02806,1.1047,0.14371,0.88128,0.054886
8.222_461.26623,0.92538,-0.11188,0.88128,0.054886
11.126_357.2792,1.0032,0.004545,0.88128,0.054886
11.218_391.28461,0.65804,-0.60376,0.88253,0.05427
1.593_121.06476,1.3028,0.3816,0.88253,0.05427
1.204_116.07053,0.79137,-0.33758,0.88253,0.05427
1.204_192.98999,1.1219,0.16592,0.88253,0.05427
8.928_132.04552,0.90541,-0.14336,0.88253,0.05427
1.637_182.04596,0.93595,-0.095493,0.90369,0.043983
0.974_247.14006,0.81737,-0.29094,0.91228,0.039872
4.905_173.16482,2.0757,1.0536,0.91271,0.039669
0.82_147.11285,0.75256,-0.41012,0.91271,0.039669
0.966_134.08118,0.76556,-0.38541,0.91271,0.039669
14.809_297.2436,0.89869,-0.1541,0.91271,0.039669
1.293_155.04628,1.4105,0.49625,0.92964,0.031684
17.573_633.15091,0.79278,-0.33501,0.92964,0.031684
14.997_340.28475,0.86811,-0.20404,0.92964,0.031684
6.746_131.07141,0.8828,-0.17984,0.92964,0.031684
1.218_142.05102,1.0133,0.019052,0.92964,0.031684
1.011_118.08618,0.70268,-0.50906,0.94376,0.025139
