# Constructed from biom file
#OTU ID	Sub002.0h	Sub003.0h	Sub004.0h	Sub005.0h	Sub007.0h	Sub008.0h	Sub001.0h	Sub0010.0h	Sub006.0h	Sub011.0h
0032a6aa3e3e22899e1ba82bd86a2641	20.0	26.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0
00c3c59e2bb028eeef1be0c19526d989	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
012dcdff53409e7c934f24e9b9c52f28	1998.0	800.0	460.0	434.0	2659.0	798.0	17.0	0.0	113.0	42.0
021ab5bf2c4068c520e74f3bc961ae02	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
02fff841f258b795e5d807a05477a512	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
03784364dbfc1f179b36e637b2f6b86d	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
042d90d86b66fc5e160b345db78ad479	0.0	0.0	0.0	0.0	2.0	145.0	0.0	0.0	0.0	0.0
0444fe292b99b38eca983b1a0efad6bb	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
046b079be722d6f92993c83e8fa67756	511.0	0.0	388.0	324.0	0.0	0.0	156.0	0.0	0.0	42.0
05d9fdd97aa290ebcbed536754c14a60	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
0768221c6a268e5d68f040a978c2fb60	127.0	0.0	65.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0
07f88a65eed4f94b89b716bcff533a36	486.0	0.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0
083df9ad87247751a70a15c82f7faab2	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
0881804b168c0b7d1bf1b601b1513990	0.0	0.0	0.0	0.0	0.0	799.0	35.0	0.0	0.0	0.0
08f3db0854c3b06c56eda9098360538c	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
096440c43808084aa0ed6d537ed2dbaa	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0
0977c5207179f4af9ef94b00381bc878	0.0	113.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0
097959836036c380f4e7dc259e6e51ae	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
09d1e3b4ed28612c45f4e919fe001666	911.0	605.0	113.0	317.0	0.0	1194.0	43.0	55.0	89.0	0.0
0a7d4418a2ca388300ad29b846c597d9	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
0abb2d1f4605cbc8abfd2e0cb5416c2a	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0
0b739f8c1c3581411d79bb25771b1faa	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0
0cc2f79a3e3d31e1d291a8e083e611ab	0.0	0.0	19.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
0dbb73fea8179ce923f389eeb4fd886c	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0
0def8e5217f79de5dd6f664f96894bc5	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0e1ecedf64d4390cd454c96039e9767d	0.0	96.0	0.0	0.0	21.0	96.0	0.0	0.0	28.0	0.0
0ee66988e0a54b993406e928ad92274a	67.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
0ef928fb09ea8f78b7222c5ec9f980d5	0.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0
0fe18a45dad6fff81c078ab462cb8a18	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10d4f7de417923944f82eb8131e57035	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113b83815729d5af728225d785ec760d	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0
11659628e75a2a83db32a643d9ef57b0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
